trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.495}",20,0,-39.37861946133516,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.49005}",30,0,-166.1165882422838,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.48514949999999996}",20,0,-58.227689592972574,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.480298005}",30,0,-90.22755021191179,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.47549502494999996}",25,2,-98.51232683193246,"{0: 18, 1: 1, 2: 0, 3: 2, 4: 2}",1
6,False,"{'a': 0.2, 'e': 0.47074007470049994}",20,0,-97.80614215729281,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",1
7,False,"{'a': 0.2, 'e': 0.46603267395349496}",20,0,-76.21558820833988,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.2, 'e': 0.46137234721396}",20,0,-33.13252230591979,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.45675862374182036}",35,0,-98.15051473831603,"{0: 27, 1: 3, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.45219103750440215}",30,17,16.29575314337225,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.44766912712935814}",20,0,-113.04229956266049,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.44319243585806456}",25,0,18.478899234505462,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.4387605114994839}",20,0,-11.467803239254515,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.2, 'e': 0.43437290638448905}",20,10,4.887441937255705,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.43002917732064416}",25,0,-95.96016793579403,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.4257288855474377}",25,0,-32.821837621689895,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.2, 'e': 0.4214715966919633}",20,9,7.880886512670727,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.4172568807250437}",25,6,-20.285845375289732,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.2, 'e': 0.41308431191779327}",20,0,-8.943062807828166,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.4089534687986153}",20,0,-37.02495454884816,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.40486393411062915}",25,0,-11.375355373918254,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.2, 'e': 0.4008152947695229}",25,0,-39.67404522884411,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.39680714182182764}",30,16,-17.190514615511816,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.2, 'e': 0.3928390704036094}",20,11,-0.023985976638852158,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.2, 'e': 0.38891067969957327}",20,0,13.044289663189364,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.2, 'e': 0.38502157290257755}",25,13,-30.58561314870989,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.2, 'e': 0.3811713571735518}",20,8,18.969262025750467,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.2, 'e': 0.37735964360181623}",30,0,-34.79382380590931,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.3735860471657981}",30,12,3.5434810218960973,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.3698501866941401}",20,3,-4.8382664724158975,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.3661516848271987}",20,0,6.634370673002899,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.2, 'e': 0.3624901679789267}",25,15,-12.154842115778386,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
33,False,"{'a': 0.2, 'e': 0.3588652662991374}",30,11,-32.96141963070423,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 0}",1
34,False,"{'a': 0.2, 'e': 0.35527661363614604}",35,0,-80.47134343565685,"{0: 28, 1: 1, 2: 3, 3: 2, 4: 1}",0
35,False,"{'a': 0.2, 'e': 0.3517238474997846}",30,5,-3.0517377753120565,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.2, 'e': 0.34820660902478673}",20,0,-57.686414571925134,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
37,False,"{'a': 0.2, 'e': 0.34472454293453886}",30,9,0.43602209229014766,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.2, 'e': 0.3412772975051935}",20,0,5.488548761829367,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.2, 'e': 0.33786452453014154}",20,0,14.416534467701517,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.2, 'e': 0.33448587928484014}",20,10,13.378609396761306,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.2, 'e': 0.33114102049199173}",25,18,12.757318333321146,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.2, 'e': 0.3278296102870718}",25,20,8.466270116089435,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.2, 'e': 0.3245513141842011}",20,0,22.110498650984603,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.2, 'e': 0.32130580104235906}",20,1,-30.279703038373633,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.2, 'e': 0.31809274303193547}",20,9,1.0140832904259336,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.31491181560161613}",20,0,18.37421171952408,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.2, 'e': 0.3117626974456}",30,15,-13.415308890293034,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.308645070471144}",20,0,-64.36703174433801,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.30555861976643256}",25,0,-53.15691870525606,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
50,False,"{'a': 0.2, 'e': 0.30250303356876823}",20,0,-20.705389594937994,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.2, 'e': 0.29947800323308055}",20,8,-52.387927825010905,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
52,False,"{'a': 0.2, 'e': 0.2964832232007497}",20,15,-2.438935419468711,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.2935183909687422}",20,13,13.496693140041458,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.29058320705905477}",20,14,0.18138862781237952,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.2, 'e': 0.28767737498846424}",20,9,5.5132095135478325,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.2848006012385796}",20,13,-58.706729500635525,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 1}",1
57,False,"{'a': 0.2, 'e': 0.2819525952261938}",20,8,23.396702917148787,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.2791330692739319}",25,0,4.108892379783926,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.27634173858119254}",20,0,-12.119175823491537,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
60,False,"{'a': 0.2, 'e': 0.2735783211953806}",25,0,11.99644908490712,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.2, 'e': 0.2708425379834268}",20,0,-15.064546458368575,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
62,False,"{'a': 0.2, 'e': 0.2681341126035925}",20,7,22.049342516196127,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.2654527714775566}",20,0,-68.75810038314643,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
64,False,"{'a': 0.2, 'e': 0.262798243762781}",25,0,21.31009849659251,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.2, 'e': 0.2601702613251532}",30,8,-20.0996555414511,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.2, 'e': 0.25756855871190165}",30,0,-37.17393279594305,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 1}",0
67,False,"{'a': 0.2, 'e': 0.25499287312478264}",30,13,-66.6720528421451,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
68,False,"{'a': 0.2, 'e': 0.2524429443935348}",20,8,20.103975878755097,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.24991851494959946}",30,15,17.872093633319523,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.24741932980010348}",20,0,10.80256958092529,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.2, 'e': 0.24494513650210245}",20,10,17.21932255950863,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.24249568513708142}",30,2,-20.22709487642545,"{0: 23, 1: 3, 2: 0, 3: 2, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.2400707282857106}",25,8,-19.29410520592205,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.2, 'e': 0.2376700210028535}",35,7,-78.79899913311395,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 2}",1
75,False,"{'a': 0.2, 'e': 0.23529332079282497}",25,8,-11.77226665120992,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.2, 'e': 0.2329403875848967}",30,15,-6.216025931536229,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.23061098370904776}",20,16,9.684408014902694,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.22830487387195728}",20,5,-23.85521569965846,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.2, 'e': 0.2260218251332377}",30,4,4.5488685669823985,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
80,False,"{'a': 0.2, 'e': 0.22376160688190533}",25,16,2.4790490672702425,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.22152399081308627}",25,3,-21.25545800528522,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.2193087509049554}",25,0,19.53989491548691,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.2, 'e': 0.21711566339590585}",25,14,19.78594243730753,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.2, 'e': 0.2149445067619468}",20,7,9.891783188038017,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.21279506169432733}",25,6,12.97104819130322,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.21066711107738406}",25,11,-12.720613128751319,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.2, 'e': 0.20856043996661022}",20,0,24.842863851613984,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.2, 'e': 0.20647483556694413}",20,13,-29.512774377431448,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.2, 'e': 0.20441008721127468}",20,0,-23.59694502953067,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.2, 'e': 0.20236598633916195}",20,0,10.74118402865289,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
91,False,"{'a': 0.2, 'e': 0.20034232647577033}",25,0,36.77035408116411,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.2, 'e': 0.19833890321101263}",20,0,24.223379526194165,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.2, 'e': 0.1963555141789025}",20,9,13.60848855277011,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.19439195903711348}",20,6,13.177146822005298,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.19244803944674235}",25,20,11.843282101582222,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.19052355905227492}",25,11,12.311546208821031,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.2, 'e': 0.18861832346175217}",20,3,-34.745282257107554,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.2, 'e': 0.18673214022713464}",25,4,14.180600019961366,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.18486481882486328}",20,9,9.551982085556782,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.2, 'e': 0.18301617063661463}",20,0,31.227719734254382,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.2, 'e': 0.18118600893024847}",20,12,16.067959671810122,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.2, 'e': 0.179374148840946}",30,24,10.077978623190443,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
